Industry,Female_Executive_Percentage,Male_Executive_Percentage
Automotive,0.15,0.85
Automotive,0.20,0.80
Automotive,0.36,0.64
Automotive,0.23,0.77
Automotive,0.34,0.66
Automotive,0.20,0.80
Automotive,0.35,0.65
Automotive,0.27,0.73
Automotive,0.14,0.86
Automotive,0.25,0.75
Automotive,0.26,0.74
Automotive,0.30,0.70
Automotive,0.13,0.87
Automotive,0.29,0.71
Automotive,0.36,0.64
Automotive,0.25,0.75
Automotive,0.08,0.92
Automotive,0.32,0.68
Automotive,0.23,0.77
Automotive,0.23,0.77
Automotive,0.44,0.56
Automotive,0.31,0.69
Automotive,0.09,0.91
Automotive,0.27,0.73
Automotive,0.21,0.79
Automotive,0.33,0.67
Automotive,0.23,0.77
Automotive,0.17,0.83
Automotive,0.33,0.67
Automotive,0.20,0.80
Automotive,0.23,0.77
Automotive,0.33,0.67
Automotive,0.17,0.83
Automotive,0.37,0.63
Automotive,0.27,0.73
Automotive,0.10,0.90
Automotive,0.26,0.74
Automotive,0.43,0.57
Automotive,0.42,0.58
Automotive,0.33,0.67
Automotive,0.19,0.81
Automotive,0.35,0.65
Automotive,0.27,0.73
Automotive,0.36,0.64
Automotive,0.13,0.87
Automotive,0.28,0.72
Automotive,0.33,0.67
Automotive,0.32,0.68
Automotive,0.25,0.75
Automotive,0.32,0.68
Automotive,0.21,0.79
Automotive,0.45,0.55
Automotive,0.20,0.80
Automotive,0.37,0.63
Automotive,0.08,0.92
Automotive,0.21,0.79
Construction,0.13,0.87
Construction,0.20,0.80
Construction,0.31,0.69
Construction,0.24,0.76
Construction,0.16,0.84
Construction,0.08,0.92
Construction,0.19,0.81
Construction,0.14,0.86
Construction,0.40,0.60
Construction,0.35,0.65
Construction,0.15,0.85
Construction,0.33,0.67
Construction,0.41,0.59
Construction,0.40,0.60
Construction,0.40,0.60
Construction,0.30,0.70
Construction,0.45,0.55
Construction,0.30,0.70
Construction,0.26,0.74
Construction,0.14,0.86
Construction,0.31,0.69
Construction,0.33,0.67
Construction,0.10,0.90
Construction,0.43,0.57
Construction,0.46,0.54
Construction,0.38,0.62
Construction,0.22,0.78
Construction,0.18,0.82
Construction,0.10,0.90
Construction,0.32,0.68
Construction,0.14,0.86
Construction,0.20,0.80
Construction,0.39,0.61
Construction,0.11,0.89
Construction,0.30,0.70
Construction,0.18,0.82
Construction,0.29,0.71
Construction,0.46,0.54
Construction,0.17,0.83
Construction,0.10,0.90
Construction,0.14,0.86
Construction,0.26,0.74
Construction,0.11,0.89
Construction,0.18,0.82
Construction,0.29,0.71
Construction,0.23,0.77
Construction,0.27,0.73
Construction,0.27,0.73
Construction,0.24,0.76
Construction,0.12,0.88
Construction,0.28,0.72
Construction,0.26,0.74
Construction,0.23,0.77
Construction,0.36,0.64
Construction,0.22,0.78
Construction,0.27,0.73
Construction,0.28,0.72
Construction,0.25,0.75
Construction,0.20,0.80
Construction,0.26,0.74
Construction,0.20,0.80
Construction,0.09,0.91
Construction,0.38,0.62
Construction,0.28,0.72
Education,0.35,0.65
Education,0.38,0.62
Education,0.54,0.46
Education,0.40,0.60
Education,0.50,0.50
Education,0.49,0.51
Education,0.30,0.70
Education,0.39,0.61
Education,0.57,0.43
Education,0.22,0.78
Education,0.62,0.38
Education,0.62,0.38
Education,0.71,0.29
Education,0.45,0.55
Education,0.40,0.60
Education,0.38,0.62
Education,0.49,0.51
Education,0.53,0.47
Education,0.31,0.69
Education,0.18,0.82
Education,0.69,0.31
Education,0.45,0.55
Education,0.49,0.51
Education,0.29,0.71
Education,0.29,0.71
Education,0.60,0.40
Education,0.56,0.44
Education,0.34,0.66
Education,0.32,0.68
Education,0.54,0.46
Education,0.57,0.43
Education,0.67,0.33
Education,0.41,0.59
Education,0.27,0.73
Education,0.35,0.65
Education,0.58,0.42
Education,0.42,0.58
Education,0.26,0.74
Education,0.34,0.66
Education,0.40,0.60
Education,0.34,0.66
Education,0.42,0.58
Education,0.44,0.56
Education,0.48,0.52
Education,0.28,0.72
Education,0.36,0.64
Education,0.54,0.46
Education,0.40,0.60
Education,0.38,0.62
Education,0.37,0.63
Education,0.42,0.58
Education,0.32,0.68
Education,0.25,0.75
Education,0.36,0.64
Education,0.42,0.58
Education,0.49,0.51
Education,0.40,0.60
Education,0.49,0.51
Education,0.30,0.70
Education,0.37,0.63
Education,0.36,0.64
Finance,0.44,0.56
Finance,0.42,0.58
Finance,0.22,0.78
Finance,0.25,0.75
Finance,0.43,0.57
Finance,0.26,0.74
Finance,0.37,0.63
Finance,0.49,0.51
Finance,0.46,0.54
Finance,0.34,0.66
Finance,0.08,0.92
Finance,0.39,0.61
Finance,0.23,0.77
Finance,0.28,0.72
Finance,0.31,0.69
Finance,0.13,0.87
Finance,0.30,0.70
Finance,0.11,0.89
Finance,0.24,0.76
Finance,0.25,0.75
Finance,0.07,0.93
Finance,0.20,0.80
Finance,0.27,0.73
Finance,0.44,0.56
Finance,0.42,0.58
Finance,0.36,0.64
Finance,0.39,0.61
Finance,0.38,0.62
Finance,0.17,0.83
Finance,0.29,0.71
Finance,0.20,0.80
Finance,0.42,0.58
Finance,0.37,0.63
Finance,0.38,0.62
Finance,0.22,0.78
Finance,0.17,0.83
Finance,0.43,0.57
Finance,0.18,0.82
Finance,0.39,0.61
Finance,0.26,0.74
Finance,0.36,0.64
Finance,0.33,0.67
Finance,0.27,0.73
Finance,0.11,0.89
Finance,0.33,0.67
Finance,0.33,0.67
Finance,0.15,0.85
Finance,0.33,0.67
Finance,0.48,0.52
Finance,0.37,0.63
Finance,0.16,0.84
Finance,0.39,0.61
Finance,0.25,0.75
Finance,0.48,0.52
Finance,0.29,0.71
Finance,0.41,0.59
Finance,0.21,0.79
Finance,0.33,0.67
Finance,0.13,0.87
Finance,0.31,0.69
Finance,0.24,0.76
Finance,0.20,0.80
Finance,0.29,0.71
Finance,0.36,0.64
Finance,0.55,0.45
Finance,0.27,0.73
Finance,0.14,0.86
Finance,0.45,0.55
Finance,0.42,0.58
Finance,0.46,0.54
Finance,0.36,0.64
Finance,0.25,0.75
Finance,0.31,0.69
Finance,0.46,0.54
Finance,0.30,0.70
Finance,0.35,0.65
Finance,0.37,0.63
Finance,0.47,0.53
Finance,0.46,0.54
Finance,0.34,0.66
Finance,0.29,0.71
Finance,0.33,0.67
Finance,0.17,0.83
Finance,0.33,0.67
Finance,0.46,0.54
Finance,0.24,0.76
Finance,0.42,0.58
Finance,0.33,0.67
Finance,0.27,0.73
Government,0.25,0.75
Government,0.39,0.61
Government,0.53,0.47
Government,0.52,0.48
Government,0.52,0.48
Government,0.38,0.62
Government,0.50,0.50
Government,0.45,0.55
Government,0.17,0.83
Government,0.19,0.81
Government,0.38,0.62
Government,0.50,0.50
Government,0.43,0.57
Government,0.54,0.46
Government,0.54,0.46
Government,0.71,0.29
Government,0.40,0.60
Government,0.48,0.52
Government,0.50,0.50
Government,0.52,0.48
Government,0.55,0.45
Government,0.49,0.51
Government,0.41,0.59
Government,0.33,0.67
Government,0.28,0.72
Government,0.23,0.77
Government,0.62,0.38
Government,0.20,0.80
Government,0.32,0.68
Government,0.17,0.83
Government,0.25,0.75
Government,0.26,0.74
Government,0.54,0.46
Government,0.08,0.92
Government,0.13,0.87
Government,0.42,0.58
Government,0.36,0.64
Government,0.64,0.36
Government,0.38,0.62
Government,0.42,0.58
Government,0.40,0.60
Government,0.26,0.74
Government,0.71,0.29
Government,0.59,0.41
Government,0.35,0.65
Government,0.38,0.62
Government,0.47,0.53
Government,0.64,0.36
Government,0.36,0.64
Government,0.50,0.50
Healthcare,0.44,0.56
Healthcare,0.37,0.63
Healthcare,0.25,0.75
Healthcare,0.36,0.64
Healthcare,0.33,0.67
Healthcare,0.45,0.55
Healthcare,0.40,0.60
Healthcare,0.23,0.77
Healthcare,0.40,0.60
Healthcare,0.43,0.57
Healthcare,0.42,0.58
Healthcare,0.48,0.52
Healthcare,0.50,0.50
Healthcare,0.42,0.58
Healthcare,0.35,0.65
Healthcare,0.52,0.48
Healthcare,0.30,0.70
Healthcare,0.62,0.38
Healthcare,0.40,0.60
Healthcare,0.30,0.70
Healthcare,0.40,0.60
Healthcare,0.40,0.60
Healthcare,0.35,0.65
Healthcare,0.39,0.61
Healthcare,0.44,0.56
Healthcare,0.42,0.58
Healthcare,0.25,0.75
Healthcare,0.37,0.63
Healthcare,0.41,0.59
Healthcare,0.22,0.78
Healthcare,0.32,0.68
Healthcare,0.30,0.70
Healthcare,0.47,0.53
Healthcare,0.43,0.57
Healthcare,0.58,0.42
Healthcare,0.80,0.20
Healthcare,0.32,0.68
Healthcare,0.55,0.45
Healthcare,0.37,0.63
Healthcare,0.41,0.59
Healthcare,0.23,0.77
Healthcare,0.30,0.70
Healthcare,0.44,0.56
Healthcare,0.36,0.64
Healthcare,0.47,0.53
Healthcare,0.53,0.47
Healthcare,0.41,0.59
Healthcare,0.50,0.50
Healthcare,0.39,0.61
Healthcare,0.36,0.64
Healthcare,0.35,0.65
Healthcare,0.39,0.61
Healthcare,0.34,0.66
Healthcare,0.24,0.76
Healthcare,0.52,0.48
Healthcare,0.45,0.55
Healthcare,0.47,0.53
Healthcare,0.45,0.55
Healthcare,0.40,0.60
Healthcare,0.22,0.78
Healthcare,0.41,0.59
Healthcare,0.41,0.59
Healthcare,0.33,0.67
Healthcare,0.34,0.66
Healthcare,0.50,0.50
Healthcare,0.32,0.68
Healthcare,0.39,0.61
Healthcare,0.27,0.73
Healthcare,0.46,0.54
Healthcare,0.14,0.86
Healthcare,0.44,0.56
Healthcare,0.41,0.59
Healthcare,0.41,0.59
Healthcare,0.43,0.57
Retail,0.36,0.64
Retail,0.27,0.73
Retail,0.38,0.62
Retail,0.48,0.52
Retail,0.29,0.71
Retail,0.26,0.74
Retail,0.26,0.74
Retail,0.44,0.56
Retail,0.35,0.65
Retail,0.16,0.84
Retail,0.17,0.83
Retail,0.40,0.60
Retail,0.26,0.74
Retail,0.58,0.42
Retail,0.54,0.46
Retail,0.46,0.54
Retail,0.38,0.62
Retail,0.45,0.55
Retail,0.32,0.68
Retail,0.23,0.77
Retail,0.39,0.61
Retail,0.41,0.59
Retail,0.39,0.61
Retail,0.26,0.74
Retail,0.38,0.62
Retail,0.18,0.82
Retail,0.43,0.57
Retail,0.33,0.67
Retail,0.28,0.72
Retail,0.30,0.70
Retail,0.42,0.58
Retail,0.36,0.64
Retail,0.22,0.78
Retail,0.41,0.59
Retail,0.45,0.55
Retail,0.59,0.41
Retail,0.46,0.54
Retail,0.41,0.59
Retail,0.28,0.72
Retail,0.40,0.60
Retail,0.37,0.63
Retail,0.41,0.59
Retail,0.11,0.89
Retail,0.27,0.73
Retail,0.40,0.60
Retail,0.18,0.82
Retail,0.33,0.67
Retail,0.14,0.86
Retail,0.47,0.53
Retail,0.29,0.71
Retail,0.40,0.60
Retail,0.45,0.55
Retail,0.39,0.61
Retail,0.18,0.82
Retail,0.34,0.66
Retail,0.36,0.64
Retail,0.26,0.74
Retail,0.65,0.35
Retail,0.15,0.85
Retail,0.45,0.55
Retail,0.36,0.64
Retail,0.18,0.82
Retail,0.37,0.63
Retail,0.09,0.91
Technology,0.15,0.85
Technology,0.35,0.65
Technology,0.44,0.56
Technology,0.38,0.62
Technology,0.22,0.78
Technology,0.19,0.81
Technology,0.47,0.53
Technology,0.56,0.44
Technology,0.32,0.68
Technology,0.27,0.73
Technology,0.43,0.57
Technology,0.29,0.71
Technology,0.22,0.78
Technology,0.33,0.67
Technology,0.33,0.67
Technology,0.23,0.77
Technology,0.18,0.82
Technology,0.35,0.65
Technology,0.11,0.89
Technology,0.27,0.73
Technology,0.27,0.73
Technology,0.45,0.55
Technology,0.35,0.65
Technology,0.17,0.83
Technology,0.42,0.58
Technology,0.32,0.68
Technology,0.50,0.50
Technology,0.25,0.75
Technology,0.28,0.72
Technology,0.35,0.65
Technology,0.31,0.69
Technology,0.27,0.73
Technology,0.45,0.55
Technology,0.42,0.58
Technology,0.48,0.52
Technology,0.45,0.55
Technology,0.18,0.82
Technology,0.42,0.58
Technology,0.41,0.59
Technology,0.41,0.59
Technology,0.33,0.67
Technology,0.43,0.57
Technology,0.30,0.70
Technology,0.42,0.58
Technology,0.29,0.71
Technology,0.57,0.43
Technology,0.35,0.65
Technology,0.21,0.79
Technology,0.29,0.71
Technology,0.48,0.52
Technology,0.37,0.63
Technology,0.33,0.67
Technology,0.57,0.43
Technology,0.50,0.50
Technology,0.46,0.54
Technology,0.37,0.63
Technology,0.25,0.75
Technology,0.29,0.71
Technology,0.43,0.57
Technology,0.40,0.60
Technology,0.33,0.67
Technology,0.17,0.83
Technology,0.43,0.57
Technology,0.43,0.57
Technology,0.49,0.51
Technology,0.32,0.68
Technology,0.52,0.48
Technology,0.33,0.67
Technology,0.27,0.73
Technology,0.24,0.76
Technology,0.38,0.62
Technology,0.33,0.67
Technology,0.23,0.77
Technology,0.38,0.62
Technology,0.52,0.48
Technology,0.80,0.20
Technology,0.48,0.52
Technology,0.27,0.73
Technology,0.38,0.62
Technology,0.27,0.73
Technology,0.22,0.78
Technology,0.48,0.52
Technology,0.51,0.49
Technology,0.43,0.57
Technology,0.29,0.71
Technology,0.40,0.60
Technology,0.21,0.79
Technology,0.49,0.51
Technology,0.32,0.68
Technology,0.42,0.58
Technology,0.30,0.70
Technology,0.53,0.47
Technology,0.28,0.72
Technology,0.08,0.92
Technology,0.36,0.64
Technology,0.41,0.59
Technology,0.30,0.70
Technology,0.38,0.62
Technology,0.49,0.51
Technology,0.16,0.84
Technology,0.36,0.64
Technology,0.27,0.73
Technology,0.39,0.61
Technology,0.29,0.71
Technology,0.36,0.64
Technology,0.40,0.60
Technology,0.36,0.64
Technology,0.40,0.60
Technology,0.13,0.87
Technology,0.24,0.76
Technology,0.15,0.85
Technology,0.35,0.65
Technology,0.27,0.73
Technology,0.33,0.67
Technology,0.23,0.77
Technology,0.26,0.74
Technology,0.17,0.83
Technology,0.30,0.70
Technology,0.42,0.58
Technology,0.30,0.70
Technology,0.24,0.76
Technology,0.36,0.64
Technology,0.50,0.50
Technology,0.31,0.69
Technology,0.33,0.67
Technology,0.25,0.75
Technology,0.24,0.76
Technology,0.29,0.71
Technology,0.21,0.79
Technology,0.22,0.78
Technology,0.20,0.80
Technology,0.17,0.83
Technology,0.25,0.75
Technology,0.40,0.60
Technology,0.38,0.62
Technology,0.36,0.64
Technology,0.29,0.71
Technology,0.24,0.76
Technology,0.24,0.76
Technology,0.27,0.73
Technology,0.17,0.83
Technology,0.27,0.73
Technology,0.31,0.69
Technology,0.19,0.81
Technology,0.33,0.67
Technology,0.18,0.82
Technology,0.36,0.64
Technology,0.21,0.79
Technology,0.40,0.60
Technology,0.25,0.75
Technology,0.11,0.89
Technology,0.43,0.57
Technology,0.24,0.76
Technology,0.37,0.63
Technology,0.40,0.60
Technology,0.23,0.77
Technology,0.21,0.79
Technology,0.44,0.56
Technology,0.26,0.74
Technology,0.29,0.71
Technology,0.47,0.53
Technology,0.41,0.59
Technology,0.26,0.74
Technology,0.28,0.72
Technology,0.45,0.55
Technology,0.13,0.87
Technology,0.42,0.58
Technology,0.27,0.73
Technology,0.25,0.75
Telecommunications,0.53,0.47
Telecommunications,0.33,0.67
Telecommunications,0.11,0.89
Telecommunications,0.26,0.74
Telecommunications,0.38,0.62
Telecommunications,0.37,0.63
Telecommunications,0.24,0.76
Telecommunications,0.39,0.61
Telecommunications,0.55,0.45
Telecommunications,0.18,0.82
Telecommunications,0.32,0.68
Telecommunications,0.28,0.72
Telecommunications,0.16,0.84
Telecommunications,0.38,0.62
Telecommunications,0.20,0.80
Telecommunications,0.20,0.80
Telecommunications,0.50,0.50
Telecommunications,0.27,0.73
Telecommunications,0.52,0.48
Telecommunications,0.32,0.68
Telecommunications,0.21,0.79
Telecommunications,0.30,0.70
Telecommunications,0.41,0.59
Telecommunications,0.41,0.59
Telecommunications,0.25,0.75
Telecommunications,0.25,0.75
Telecommunications,0.43,0.57
Telecommunications,0.21,0.79
Telecommunications,0.38,0.62
Telecommunications,0.08,0.92
Telecommunications,0.19,0.81
Telecommunications,0.23,0.77
Telecommunications,0.43,0.57
Telecommunications,0.26,0.74
Telecommunications,0.46,0.54
Telecommunications,0.33,0.67
Telecommunications,0.22,0.78
Telecommunications,0.26,0.74
Telecommunications,0.28,0.72
Telecommunications,0.34,0.66
Telecommunications,0.44,0.56
Telecommunications,0.26,0.74
Telecommunications,0.35,0.65
Telecommunications,0.33,0.67
Telecommunications,0.45,0.55
Telecommunications,0.53,0.47
Telecommunications,0.44,0.56
Telecommunications,0.29,0.71
Telecommunications,0.44,0.56
Telecommunications,0.22,0.78
Telecommunications,0.29,0.71
Telecommunications,0.32,0.68
Telecommunications,0.50,0.50
Telecommunications,0.21,0.79
Telecommunications,0.37,0.63
Telecommunications,0.20,0.80
Telecommunications,0.33,0.67
Telecommunications,0.20,0.80
Telecommunications,0.38,0.62
Telecommunications,0.30,0.70
Telecommunications,0.24,0.76
Telecommunications,0.30,0.70
Telecommunications,0.23,0.77
Telecommunications,0.52,0.48
Telecommunications,0.08,0.92
Telecommunications,0.39,0.61
Telecommunications,0.30,0.70
Telecommunications,0.39,0.61
Telecommunications,0.43,0.57
Telecommunications,0.31,0.69
Telecommunications,0.31,0.69
Telecommunications,0.22,0.78
Telecommunications,0.24,0.76
Telecommunications,0.24,0.76
Telecommunications,0.43,0.57
Telecommunications,0.35,0.65
Transportation,0.22,0.78
Transportation,0.19,0.81
Transportation,0.43,0.57
Transportation,0.32,0.68
Transportation,0.71,0.29
Transportation,0.21,0.79
Transportation,0.32,0.68
Transportation,0.23,0.77
Transportation,0.41,0.59
Transportation,0.32,0.68
Transportation,0.13,0.87
Transportation,0.35,0.65
Transportation,0.30,0.70
Transportation,0.08,0.92
Transportation,0.38,0.62
Transportation,0.23,0.77
Transportation,0.39,0.61
Transportation,0.12,0.88
Transportation,0.19,0.81
Transportation,0.18,0.82
Transportation,0.14,0.86
Transportation,0.33,0.67
Transportation,0.18,0.82
Transportation,0.29,0.71
Transportation,0.35,0.65
Transportation,0.23,0.77
Transportation,0.49,0.51
Transportation,0.25,0.75
Transportation,0.17,0.83
Transportation,0.24,0.76
Transportation,0.39,0.61
Transportation,0.25,0.75
Transportation,0.56,0.44
Transportation,0.31,0.69
Transportation,0.28,0.72
Transportation,0.27,0.73
Transportation,0.20,0.80
Transportation,0.26,0.74
Transportation,0.20,0.80
Transportation,0.40,0.60
Transportation,0.09,0.91
Transportation,0.42,0.58
Transportation,0.31,0.69
Transportation,0.21,0.79
Transportation,0.12,0.88
Transportation,0.42,0.58
Transportation,0.28,0.72
Transportation,0.20,0.80
Transportation,0.10,0.90
Transportation,0.24,0.76
Transportation,0.22,0.78
Transportation,0.16,0.84
Transportation,0.43,0.57
Transportation,0.32,0.68
Transportation,0.14,0.86
Transportation,0.24,0.76
Transportation,0.25,0.75
Transportation,0.38,0.62
Transportation,0.13,0.87
