Industry,Female_Employee_Percentage,Male_Employee_Percentage,Female_LIWC,Male_LIWC
Automotive,0.34,0.66,0.26,0
Automotive,0.39,0.61,0,0.24
Automotive,0.37,0.63,0,0
Automotive,0.29,0.71,0.31,0
Automotive,0.34,0.66,0,0
Automotive,0.36,0.64,0,0
Automotive,0.34,0.66,0,0.15
Automotive,0.36,0.64,0,0
Automotive,0.36,0.64,0,0
Automotive,0.34,0.66,0,0
Automotive,0.34,0.66,0,0
Automotive,0.31,0.69,0,0
Automotive,0.21,0.79,0,0
Automotive,0.42,0.58,0,0
Automotive,0.26,0.74,0,0
Automotive,0.32,0.68,0,0
Automotive,0.34,0.66,0,0.81
Automotive,0.43,0.57,0,0
Automotive,0.31,0.69,0,0
Automotive,0.28,0.72,0,0
Automotive,0.36,0.64,0,0
Automotive,0.31,0.69,0,0
Automotive,0.44,0.56,0.48,0
Automotive,0.36,0.64,0,0
Automotive,0.41,0.59,0,0
Automotive,0.3,0.7,0,0
Automotive,0.39,0.61,0,0
Automotive,0.36,0.64,0,0
Automotive,0.36,0.64,0,0
Automotive,0.39,0.61,0,0
Automotive,0.36,0.64,0,0
Automotive,0.44,0.56,0,0
Automotive,0.37,0.63,0.34,0
Automotive,0.2,0.8,0,0
Automotive,0.3,0.7,0,0
Automotive,0.35,0.65,0,0
Automotive,0.3,0.7,0,0
Automotive,0.25,0.75,0,0
Automotive,0.21,0.79,0,0
Automotive,0.39,0.61,0,0.3
Automotive,0.42,0.58,0,0
Automotive,0.31,0.69,0,0.2
Automotive,0.36,0.64,0,0
Automotive,0.26,0.74,0,0
Automotive,0.65,0.35,0,0
Automotive,0.32,0.68,0,0
Automotive,0.2,0.8,0,0
Automotive,0.37,0.63,0,0
Automotive,0.34,0.66,0,0
Automotive,0.42,0.58,0,0.18
Automotive,0.31,0.69,0,0
Automotive,0.49,0.51,0,0.42
Automotive,0.45,0.55,0.3,0.15
Automotive,0.44,0.56,0,0
Automotive,0.33,0.67,0,0
Automotive,0.19,0.81,0.13,0.13
Automotive,0.28,0.72,0,0.42
Automotive,0.21,0.79,0,0
Automotive,0.32,0.68,0,0
Automotive,0.31,0.69,0,0
Automotive,0.27,0.73,0,0.28
Automotive,0.18,0.82,0,0
Automotive,0.22,0.78,0,0
Automotive,0.26,0.74,0,0
Automotive,0.19,0.81,0,0.19
Automotive,0.39,0.61,0,0
Automotive,0.34,0.66,0,0
Automotive,0.24,0.76,0,0
Automotive,0.39,0.61,0,0
Automotive,0.34,0.66,0,0
Automotive,0.27,0.73,0,0
Automotive,0.35,0.65,0,0
Automotive,0.23,0.77,0.24,0
Automotive,0.41,0.59,0,0
Automotive,0.38,0.62,0,0
Automotive,0.33,0.67,0,0.19
Automotive,0.27,0.73,0,0.45
Automotive,0.34,0.66,0,0.11
Automotive,0.37,0.63,0,0.19
Automotive,0.22,0.78,0,0.19
Automotive,0.24,0.76,0,0.19
Automotive,0.3,0.7,0,0.19
Automotive,0.35,0.65,0,0
Automotive,0.28,0.72,0,0
Automotive,0.33,0.67,0,0.75
Automotive,0.31,0.69,0.27,0.27
Automotive,0.22,0.78,0,0
Automotive,0.37,0.63,0,0
Automotive,0.54,0.46,0,0
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0.18
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0
Automotive,,,0,0.11
Construction,0.3,0.7,0,0.15
Construction,0.18,0.82,0,0
Construction,0.33,0.67,0,0.47
Construction,0.39,0.61,0,0
Construction,0.49,0.51,0,0
Construction,0.44,0.56,0,0
Construction,0.57,0.43,0,0
Construction,0.14,0.86,0,0
Construction,0.21,0.79,0,0.75
Construction,0.49,0.51,0,0
Construction,0.27,0.73,0,0
Construction,0.22,0.78,0,0
Construction,0.24,0.76,0,0
Construction,0.19,0.81,0,0.23
Construction,0.25,0.75,0.19,0.19
Construction,0.17,0.83,0,0
Construction,0.43,0.57,0.31,0
Construction,0.39,0.61,0,0
Construction,0.54,0.46,0,0
Construction,0.35,0.65,0,0.35
Construction,0.44,0.56,0.21,0
Construction,0.13,0.87,0,0
Construction,0.27,0.73,0,0.08
Construction,0.28,0.72,0,0
Construction,0.25,0.75,0,0
Construction,0.35,0.65,0,0
Construction,0.3,0.7,0,0
Construction,0.24,0.76,0.2,0
Construction,0.3,0.7,0,0
Construction,0.45,0.55,0,0
Construction,0.49,0.51,0.28,0
Construction,0.28,0.72,0,0
Construction,0.25,0.75,0,0
Construction,0.21,0.79,0,0
Construction,0.46,0.54,0,1.57
Construction,0.19,0.81,0,1.57
Construction,0.24,0.76,0,1.57
Construction,0.29,0.71,0,0
Construction,0.17,0.83,0.31,0
Construction,0.47,0.53,0,0.37
Construction,0.29,0.71,0,0
Construction,0.3,0.7,0,0
Construction,0.26,0.74,0.52,0
Construction,0.25,0.75,0,0
Construction,0.2,0.8,0.19,0.19
Construction,0.18,0.82,0,0
Construction,0.29,0.71,0,0
Construction,0.47,0.53,0,0
Construction,0.4,0.6,0,0.28
Construction,0.27,0.73,0,0.19
Construction,0.27,0.73,0,0
Construction,0.19,0.81,0,0
Construction,0.16,0.84,0,0
Construction,0.37,0.63,0,0
Construction,0.35,0.65,0.39,0.39
Construction,0.24,0.76,0.3,0
Construction,0.29,0.71,0,0
Construction,0.21,0.79,0,0.4
Construction,0.43,0.57,0,0.15
Construction,0.6,0.4,0,0
Construction,0.38,0.62,0,0
Construction,0.12,0.88,0.23,0.23
Construction,0.26,0.74,0,0
Construction,0.34,0.66,0,0
Construction,0.39,0.61,0,0
Construction,0.33,0.67,0,0
Construction,0.31,0.69,0,0
Construction,0.28,0.72,0,0.21
Construction,0.19,0.81,0,0
Construction,0.16,0.84,0.4,0.4
Construction,0.47,0.53,0,0
Construction,0.28,0.72,0,0
Construction,0.26,0.74,0,0
Construction,0.31,0.69,0,0
Construction,0.39,0.61,0,0
Construction,0.3,0.7,0,0
Construction,0.33,0.67,0,0
Construction,0.48,0.52,0,0
Construction,0.39,0.61,0,0
Construction,0.37,0.63,0.28,0.28
Construction,0.31,0.69,0,0
Construction,0.21,0.79,0,0
Construction,0.32,0.68,0,0
Construction,0.17,0.83,0,0
Construction,0.46,0.54,0.19,0
Construction,0.2,0.8,0,0.15
Construction,0.32,0.68,0.24,0
Construction,0.31,0.69,0,0
Construction,0.34,0.66,0.1,0
Construction,0.39,0.61,0,0
Construction,0.34,0.66,0,0
Construction,0.15,0.85,0,0
Construction,0.17,0.83,0,0
Construction,0.27,0.73,0,0
Construction,0.2,0.8,0.37,0.37
Construction,0.27,0.73,0,0.13
Construction,,,0,0
Construction,,,0,0
Construction,,,0,0
Construction,,,0,0
Finance,0.51,0.49,0,0
Finance,0.32,0.68,0,0
Finance,0.48,0.52,0,0
Finance,0.62,0.38,0,0
Finance,0.32,0.68,0,0
Finance,0.37,0.63,0,0
Finance,0.47,0.53,0,0
Finance,0.38,0.62,0,0
Finance,0.42,0.58,0,0.16
Finance,0.55,0.45,0,0
Finance,0.42,0.58,0,0.3
Finance,0.43,0.57,0,0
Finance,0.47,0.53,0,0
Finance,0.51,0.49,0,0
Finance,0.5,0.5,0.53,0
Finance,0.5,0.5,0.19,0
Finance,0.35,0.65,0,0
Finance,0.43,0.57,0,0
Finance,0.63,0.37,0,0
Finance,0.41,0.59,0.21,0.21
Finance,0.35,0.65,0,0
Finance,0.48,0.52,0,0.34
Finance,0.3,0.7,0.21,0
Finance,0.5,0.5,0.09,0
Finance,0.49,0.51,0,0
Finance,0.34,0.66,0,0
Finance,0.52,0.48,0,0
Finance,0.43,0.57,0,0
Finance,0.58,0.42,0,0
Finance,0.27,0.73,0,0
Finance,0.36,0.64,0,0
Finance,0.49,0.51,0.21,0.21
Finance,0.43,0.57,0.25,0
Finance,0.38,0.62,0,0
Finance,0.62,0.38,0.25,0.25
Finance,0.43,0.57,0.11,0
Finance,0.41,0.59,0.11,0.11
Finance,0.35,0.65,0.25,0
Finance,0.61,0.39,0.19,0
Finance,0.33,0.67,0,0
Finance,0.62,0.38,0,0
Finance,0.37,0.63,0,0
Finance,0.35,0.65,0,0
Finance,0.42,0.58,0,0
Finance,0.42,0.58,0,0
Finance,0.59,0.41,0.09,0
Finance,0.34,0.66,0,0
Finance,0.37,0.63,0,0
Finance,0.48,0.52,0,0
Finance,0.52,0.48,0,0.2
Finance,0.36,0.64,0,0
Finance,0.33,0.67,0,0
Finance,0.45,0.55,0,0
Finance,0.44,0.56,0,0.2
Finance,0.45,0.55,0,0
Finance,0.29,0.71,0,0
Finance,0.29,0.71,0.26,0
Finance,0.35,0.65,0.2,0.4
Finance,0.36,0.64,0.25,0
Finance,0.42,0.58,0,0
Finance,0.33,0.67,0,0
Finance,0.45,0.55,0.12,0
Finance,0.6,0.4,0.86,0
Finance,0.59,0.41,0,0.23
Finance,0.43,0.57,0,0
Finance,0.4,0.6,0.41,0
Finance,0.38,0.62,0.4,0.2
Finance,0.39,0.61,0,0.64
Finance,0.4,0.6,0,0.19
Finance,0.39,0.61,0,0
Finance,0.37,0.63,0.09,0
Finance,0.32,0.68,0,0
Finance,0.54,0.46,0,0
Finance,0.41,0.59,0,0
Finance,0.39,0.61,0,0.09
Finance,0.53,0.47,0,0
Finance,0.28,0.72,0,0
Finance,0.62,0.38,0,0
Finance,0.32,0.68,0.26,0
Finance,0.5,0.5,0,0
Finance,0.37,0.63,1.2,1.2
Finance,0.47,0.53,0.08,0.08
Finance,0.6,0.4,0,0
Finance,0.46,0.54,0,0
Finance,0.45,0.55,0,0
Finance,0.54,0.46,0,0
Finance,,,0,0
Finance,,,0.23,0.12
Finance,,,0,0.41
Finance,,,0.24,0
Finance,,,0.09,0
Finance,,,0,0
Finance,,,0,0
Finance,,,0,0.21
Finance,,,0,0
Finance,,,0,0
Finance,,,0,0.22
Finance,,,0,0.33
Finance,,,0.14,0.27
Finance,,,0,0.23
Government,0.4,0.6,0,0
Government,0.59,0.41,0,0.39
Government,0.39,0.61,0.21,0
Government,0.36,0.64,0,0.08
Government,0.61,0.39,0.2,0
Government,0.45,0.55,0,0.09
Government,0.58,0.42,0,0.32
Government,0.52,0.48,0,0
Government,0.52,0.48,0,0.31
Government,0.63,0.37,0,0
Government,0.42,0.58,0,0.27
Government,0.41,0.59,0.21,0.11
Government,0.46,0.54,0,0.56
Government,0.47,0.53,0,0
Government,0.13,0.87,0,0.27
Government,0.43,0.57,0,0
Government,0.26,0.74,0,0.12
Government,0.28,0.72,0,0.31
Government,0.39,0.61,0,0
Government,0.25,0.75,0,0
Government,0.67,0.33,0,0
Government,0.43,0.57,0,0.24
Government,0.58,0.42,0.15,0.15
Government,0.57,0.43,0.09,0.09
Government,0.47,0.53,0,0.06
Government,0.59,0.41,0.09,0.09
Government,0.45,0.55,0.17,0
Government,0.48,0.52,0,0
Government,0.65,0.35,0,0.27
Government,0.54,0.46,0,0.08
Government,0.44,0.56,0,0
Government,0.64,0.36,0,0
Government,0.32,0.68,0,0.2
Government,0.68,0.32,0,0.2
Government,0.54,0.46,0,0.2
Government,0.47,0.53,0,0.2
Government,0.51,0.49,0,0.2
Government,0.48,0.52,0,0.2
Government,0.43,0.57,0,0.2
Government,0.43,0.57,0,0.2
Government,0.59,0.41,0,0.2
Government,0.43,0.57,0,0.2
Government,0.44,0.56,0.11,0.11
Government,0.46,0.54,0,0.19
Government,0.65,0.35,0,0.12
Government,0.3,0.7,0,0.05
Government,0.44,0.56,0.19,0.19
Government,0.59,0.41,0,0.19
Government,0.44,0.56,0,0.19
Government,0.74,0.26,0,0.19
Government,0.39,0.61,0,0.19
Government,0.52,0.48,0,0.19
Government,0.57,0.43,0,0.19
Government,0.37,0.63,0,0.19
Government,0.26,0.74,0,0.19
Government,0.56,0.44,0.13,0.13
Government,0.49,0.51,0,0
Government,0.42,0.58,0,0
Government,0.42,0.58,0.16,0
Government,0.58,0.42,0,0.09
Government,0.32,0.68,0,0.08
Government,0.5,0.5,0,0.06
Government,0.5,0.5,0,0.43
Government,0.48,0.52,0,0.08
Government,0.46,0.54,0.28,0.06
Government,0.31,0.69,0,0
Government,0.57,0.43,0,0.31
Government,0.41,0.59,0,0.06
Government,0.44,0.56,0,0.06
Government,0.47,0.53,0,0.07
Government,0.67,0.33,0,0.29
Government,0.47,0.53,0,0.12
Government,0.45,0.55,0.29,0.14
Government,0.54,0.46,0,0.08
Government,0.47,0.53,0,0
Government,0.51,0.49,0,0
Government,0.43,0.57,0,0.27
Government,0.43,0.57,0,0.27
Government,0.6,0.4,0,0.27
Government,0.25,0.75,0,0.27
Government,0.4,0.6,0,0.27
Government,0.59,0.41,0,0.27
Government,0.5,0.5,0,0.27
Government,0.69,0.31,0,0.27
Government,0.23,0.77,0.31,0.06
Government,0.46,0.54,0.11,0
Government,0.27,0.73,0.36,0.21
Government,0.61,0.39,0,0
Government,0.47,0.53,0,0
Government,0.64,0.36,0,0
Government,0.63,0.37,0,0.33
Government,,,0,0.31
Government,,,0,0
Government,,,0,0.12
Government,,,0,0.1
Government,,,0,0.17
Government,,,0,0
Government,,,0,0
Government,,,0.08,0.08
Government,,,0.14,0.14
Technology,0.75,0.25,0,0
Technology,0.31,0.69,0,0.17
Technology,0.43,0.57,0,0
Technology,0.42,0.58,0.24,0.24
Technology,0.25,0.75,0.18,0
Technology,0.43,0.57,0.2,0
Technology,0.46,0.54,0,0.11
Technology,0.52,0.48,0.16,0.16
Technology,0.54,0.46,0.09,0
Technology,0.44,0.56,0,0.19
Technology,0.55,0.45,0,0.13
Technology,0.28,0.72,0,0
Technology,0.47,0.53,0,0
Technology,0.49,0.51,0,0
Technology,0.32,0.68,0,0
Technology,0.42,0.58,0,0
Technology,0.36,0.64,0,0.15
Technology,0.5,0.5,0,0.21
Technology,0.57,0.43,0,0
Technology,0.36,0.64,0,0.63
Technology,0.6,0.4,0,0.25
Technology,0.33,0.67,0,0.18
Technology,0.4,0.6,0,0
Technology,0.45,0.55,0,0.34
Technology,0.3,0.7,0,0
Technology,0.54,0.46,0,0.2
Technology,0.42,0.58,0,0.22
Technology,0.29,0.71,0,0
Technology,0.41,0.59,0,0
Technology,0.45,0.55,0,0
Technology,0.57,0.43,0.29,0
Technology,0.47,0.53,0,0.14
Technology,0.52,0.48,0,0
Technology,0.33,0.67,0,0
Technology,0.62,0.38,0,0.55
Technology,0.38,0.62,0,0
Technology,0.29,0.71,0,0.25
Technology,0.31,0.69,0,0
Technology,0.4,0.6,0.26,0.26
Technology,0.68,0.32,0,0
Technology,0.41,0.59,0,0
Technology,0.61,0.39,0,0
Technology,0.48,0.52,0,0.28
Technology,0.42,0.58,0,0
Technology,0.59,0.41,0,0
Technology,0.39,0.61,0,0
Technology,0.35,0.65,0,0
Technology,0.54,0.46,0,0
Technology,0.36,0.64,0,0
Technology,0.4,0.6,0,0.11
Technology,0.47,0.53,0,0.11
Technology,0.4,0.6,0,0
Technology,0.41,0.59,0.19,0
Technology,0.35,0.65,0,0
Technology,0.38,0.62,0,0
Technology,0.49,0.51,0,0
Technology,0.46,0.54,0.56,0
Technology,0.32,0.68,0,0
Technology,0.4,0.6,0.2,0
Technology,0.41,0.59,0,0
Technology,0.49,0.51,0,0
Technology,0.34,0.66,0,0.46
Technology,0.59,0.41,0,0
Technology,0.41,0.59,0,0
Technology,0.21,0.79,0,0
Technology,0.47,0.53,0.7,0
Technology,0.61,0.39,0,0
Technology,0.32,0.68,0.28,0.56
Technology,0.33,0.67,0,0
Technology,0.49,0.51,0.1,0.1
Technology,0.5,0.5,0.14,0.41
Technology,0.58,0.42,0,0.16
Technology,0.38,0.62,0,0.27
Technology,0.64,0.36,0,0
Technology,0.39,0.61,0,0
Technology,0.55,0.45,0.7,0.35
Technology,0.31,0.69,0,0
Technology,0.4,0.6,0,0.2
Technology,0.37,0.63,0,0
Technology,0.35,0.65,0,0
Technology,0.49,0.51,0,0
Technology,0.71,0.29,0,0.77
Technology,0.39,0.61,0,0.24
Technology,0.42,0.58,0,0
Technology,0.35,0.65,0,0
Technology,0.72,0.28,0,0.19
Technology,0.55,0.45,0.96,0
Technology,0.55,0.45,0,0
Technology,0.36,0.64,0,0
Technology,0.36,0.64,0,0.17
Technology,0.42,0.58,0,0
Technology,0.22,0.78,0,0.13
Technology,0.39,0.61,0,0
Technology,0.35,0.65,0,0
Technology,0.47,0.53,0,0
Technology,0.29,0.71,0.34,0
Technology,0.33,0.67,0,0
Technology,0.41,0.59,0.2,0.2
Technology,0.23,0.77,0,0
Technology,0.44,0.56,0,0
Technology,0.35,0.65,0,0
Technology,0.31,0.69,0,0.17
Technology,0.37,0.63,0,0
Technology,0.36,0.64,0.24,0.24
Technology,0.3,0.7,0.18,0
Technology,0.46,0.54,0.2,0
Technology,0.4,0.6,0,0.11
Technology,0.38,0.62,0.16,0.16
Technology,0.35,0.65,0.09,0
Technology,0.26,0.74,0,0.19
Technology,0.46,0.54,0,0.13
Technology,0.35,0.65,0,0
Technology,0.32,0.68,0,0
Technology,0.3,0.7,0,0
Technology,0.32,0.68,0,0
Technology,0.35,0.65,0,0
Technology,0.27,0.73,0,0.15
Technology,0.26,0.74,0,0.21
Technology,0.35,0.65,0,0
Technology,0.46,0.54,0,0.63
Technology,0.35,0.65,0,0.25
Technology,0.44,0.56,0,0.18
Technology,0.39,0.61,0,0
Technology,0.39,0.61,0,0.34
Technology,0.33,0.67,0,0
Technology,0.28,0.72,0,0.2
Technology,0.27,0.73,0,0.22
Technology,0.31,0.69,0,0
Technology,0.34,0.66,0,0
Technology,0.33,0.67,0,0
Technology,0.27,0.73,0.29,0
Technology,0.32,0.68,0,0.14
Technology,0.2,0.8,0,0
Technology,0.39,0.61,0,0
Technology,0.43,0.57,0,0.55
Technology,0.34,0.66,0,0
Technology,0.31,0.69,0,0.25
Technology,0.26,0.74,0,0
Technology,0.31,0.69,0.26,0.26
Technology,0.38,0.62,0,0
Technology,0.38,0.62,0,0
Technology,0.41,0.59,0,0
Technology,0.4,0.6,0,0.28
Technology,0.41,0.59,0,0
Technology,0.33,0.67,0,0
Technology,0.25,0.75,0,0
Technology,0.36,0.64,0,0
Technology,0.38,0.62,0,0
Technology,0.34,0.66,0,0
Technology,0.25,0.75,0,0.11
Technology,0.36,0.64,0,0.11
Technology,0.28,0.72,0,0
Technology,0.43,0.57,0.19,0
Technology,0.51,0.49,0,0
Technology,0.22,0.78,0,0
Technology,0.39,0.61,0,0
Technology,0.35,0.65,0.56,0
Technology,0.43,0.57,0,0
Technology,0.38,0.62,0.2,0
Technology,0.19,0.81,0,0
Technology,0.45,0.55,0,0
Technology,0.3,0.7,0,0.46
Technology,0.3,0.7,0,0
Technology,0.45,0.55,0,0
Technology,0.27,0.73,0,0
Technology,0.3,0.7,0.7,0
Technology,0.41,0.59,0,0
Technology,0.34,0.66,0.28,0.56
Technology,0.41,0.59,0,0
Technology,0.44,0.56,0.1,0.1
Technology,0.37,0.63,0.14,0.41
Technology,0.38,0.62,0,0.16
Technology,0.29,0.71,0,0.27
Technology,0.45,0.55,0,0
Technology,0.37,0.63,0,0
Technology,0.34,0.66,0.7,0.35
Technology,0.33,0.67,0,0
Technology,0.29,0.71,0,0.2
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0.77
Technology,,,0,0.24
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0.19
Technology,,,0.96,0
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0.17
Technology,,,0,0
Technology,,,0,0.13
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0
Technology,,,0.34,0
Technology,,,0,0
Technology,,,0.2,0.2
Technology,,,0,0
Technology,,,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.29,0.71,0.34,0.34
Telecommunications,0.33,0.67,0,0.26
Telecommunications,0.37,0.63,0.28,0
Telecommunications,0.37,0.63,0,0
Telecommunications,0.34,0.66,0,0
Telecommunications,0.51,0.49,0,0.23
Telecommunications,0.28,0.72,0,0.22
Telecommunications,0.5,0.5,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.41,0.59,0.14,0.14
Telecommunications,0.31,0.69,0,0
Telecommunications,0.43,0.57,0,0
Telecommunications,0.47,0.53,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.45,0.55,0,0
Telecommunications,0.37,0.63,0,0
Telecommunications,0.47,0.53,0,0
Telecommunications,0.44,0.56,0,0
Telecommunications,0.47,0.53,0,0
Telecommunications,0.39,0.61,0,0
Telecommunications,0.38,0.62,0,0
Telecommunications,0.28,0.72,0.22,0.22
Telecommunications,0.57,0.43,0,0
Telecommunications,0.45,0.55,0,0
Telecommunications,0.28,0.72,0,0
Telecommunications,0.35,0.65,0,0.14
Telecommunications,0.35,0.65,0,0
Telecommunications,0.33,0.67,0,0.25
Telecommunications,0.28,0.72,0,0.2
Telecommunications,0.23,0.77,0,0
Telecommunications,0.42,0.58,0,0
Telecommunications,0.43,0.57,0,0
Telecommunications,0.35,0.65,0,0
Telecommunications,0.34,0.66,0,0.15
Telecommunications,0.39,0.61,0.17,0.17
Telecommunications,0.3,0.7,0,0
Telecommunications,0.25,0.75,0,0
Telecommunications,0.38,0.62,0.14,0
Telecommunications,0.31,0.69,0,0
Telecommunications,0.53,0.47,0,0
Telecommunications,0.29,0.71,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.22,0.78,0.13,0.13
Telecommunications,0.31,0.69,0,0
Telecommunications,0.26,0.74,0,0.7
Telecommunications,0.38,0.62,0,0
Telecommunications,0.3,0.7,0,0
Telecommunications,0.27,0.73,0,0
Telecommunications,0.26,0.74,0,0
Telecommunications,0.43,0.57,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.42,0.58,0,0
Telecommunications,0.17,0.83,0,0
Telecommunications,0.37,0.63,0,0
Telecommunications,0.34,0.66,0,0.54
Telecommunications,0.4,0.6,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.26,0.74,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.34,0.66,0,0
Telecommunications,0.49,0.51,0,0
Telecommunications,0.31,0.69,0.15,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.48,0.52,0,0
Telecommunications,0.26,0.74,0,0
Telecommunications,0.28,0.72,0,0
Telecommunications,0.38,0.62,0,0
Telecommunications,0.27,0.73,0,0
Telecommunications,0.33,0.67,0,0.08
Telecommunications,0.5,0.5,0,0
Telecommunications,0.27,0.73,0,0
Telecommunications,0.32,0.68,0,0.68
Telecommunications,0.29,0.71,0,0
Telecommunications,0.46,0.54,0.3,0.3
Telecommunications,0.28,0.72,0.1,0
Telecommunications,0.41,0.59,0,0.66
Telecommunications,0.28,0.72,0,0.14
Telecommunications,0.16,0.84,0,0
Telecommunications,0.46,0.54,0,0
Telecommunications,0.37,0.63,0,0.29
Telecommunications,0.4,0.6,0,0
Telecommunications,0.3,0.7,0,0
Telecommunications,0.67,0.33,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.39,0.61,0.14,0
Telecommunications,0.3,0.7,0,0
Telecommunications,0.34,0.66,0,0.59
Telecommunications,,,0.32,0.11
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0.29
Telecommunications,,,0.15,0.15
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0
Telecommunications,,,0,0
Transportation,0.32,0.68,0,0.24
Transportation,0.35,0.65,0,0.22
Transportation,0.31,0.69,0,0
Transportation,0.32,0.68,0,0.29
Transportation,0.38,0.62,0,0
Transportation,0.21,0.79,0,0
Transportation,0.34,0.66,0,0.13
Transportation,0.16,0.84,0,0
Transportation,0.35,0.65,0.16,0.48
Transportation,0.35,0.65,0,0
Transportation,0.36,0.64,0,0
Transportation,0.16,0.84,0,0
Transportation,0.37,0.63,0,0
Transportation,0.4,0.6,0,0
Transportation,0.41,0.59,0,0.13
Transportation,0.36,0.64,0,0.43
Transportation,0.14,0.86,0,0
Transportation,0.3,0.7,0.11,0.11
Transportation,0.26,0.74,0,0
Transportation,0.27,0.73,0,0.13
Transportation,0.29,0.71,0,0.26
Transportation,0.37,0.63,0.16,0
Transportation,0.51,0.49,0,0
Transportation,0.44,0.56,0,0
Transportation,0.5,0.5,0,0
Transportation,0.17,0.83,0,0.21
Transportation,0.14,0.86,0,0
Transportation,0.47,0.53,0,0
Transportation,0.3,0.7,0.16,0
Transportation,0.32,0.68,0,0
Transportation,0.44,0.56,0,0
Transportation,0.17,0.83,0,0
Transportation,0.14,0.86,0,0.22
Transportation,0.44,0.56,0,0
Transportation,0.4,0.6,0.25,0.08
Transportation,0.14,0.86,0,0.15
Transportation,0.3,0.7,0.14,0.14
Transportation,0.31,0.69,0,0
Transportation,0.12,0.88,0,0.12
Transportation,0.51,0.49,0.54,0.54
Transportation,0.32,0.68,0,0
Transportation,0.31,0.69,0.37,0
Transportation,0.3,0.7,0,0
Transportation,0.3,0.7,0,0.1
Transportation,0.53,0.47,0,0
Transportation,0.2,0.8,0,0
Transportation,0.39,0.61,0,0
Transportation,0.44,0.56,0,0
Transportation,0.14,0.86,0,0
Transportation,0.52,0.48,0,0
Transportation,0.48,0.52,0,0
Transportation,0.45,0.55,0,0
Transportation,0.23,0.77,0,0
Transportation,0.44,0.56,0,0
Transportation,0.27,0.73,0,0
Transportation,0.42,0.58,0,0
Transportation,0.17,0.83,0,0
Transportation,0.46,0.54,0,0.2
Transportation,0.28,0.72,0,0
Transportation,0.5,0.5,0,0.16
Transportation,0.2,0.8,0,0
Transportation,0.45,0.55,0,0
Transportation,0.12,0.88,0.24,0
Transportation,0.23,0.77,0,0.42
Transportation,0.17,0.83,0.14,0.14
Transportation,0.18,0.82,0,0.1
Transportation,0.37,0.63,0,0
Transportation,0.38,0.62,0,0
Transportation,0.53,0.47,0,0
Transportation,0.4,0.6,0,0
Transportation,0.29,0.71,0,0
Transportation,0.17,0.83,0,0
Transportation,0.41,0.59,0,0
Transportation,0.23,0.77,0,0
Transportation,0.36,0.64,0,0.14
Transportation,0.34,0.66,0,0.29
Transportation,0.27,0.73,0,0
Transportation,0.52,0.48,0,0
Transportation,0.47,0.53,0,0
Transportation,0.24,0.76,0.29,0
Transportation,0.28,0.72,0.66,0.66
Transportation,0.34,0.66,0,0
Transportation,0.16,0.84,0,0.15
Transportation,0.18,0.82,0,0
Transportation,0.16,0.84,0,0
Transportation,0.56,0.44,0,0
Transportation,0.28,0.72,0,0
Transportation,0.15,0.85,0,0
Transportation,0.38,0.62,0,0
Transportation,0.26,0.74,0,0
Transportation,,,0,0
Transportation,,,0,0.39
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0,0
Transportation,,,0.18,0
Transportation,,,0,0.74
